year,pup_est_pred,nonpup_est_pred
1971,2102.631271,3431.552253
1972,2080.15196,3168.872544
1973,2085.60595,2953.933
1974,2079.873114,2809.671638
1975,2107.188719,2672.670513
1976,2139.467851,2586.472654
1977,2199.481728,2554.033392
1978,2279.088009,2559.31903
1979,2376.726791,2610.85992
1980,2508.450291,2709.912818
1981,2648.254914,2819.622155
1982,2792.324012,2948.094769
1983,2948.453961,3082.815311
1984,3093.966664,3214.044647
1985,3251.630573,3351.186249
1986,3395.046218,3482.347137
1987,3531.005274,3605.938346
1988,3649.640686,3715.17349
1989,3753.789541,3811.780425
1990,3833.7908,3888.757126
1991,3890.033011,3936.634472
1992,3930.60833,3976.303292
1993,3961.395851,3995.466867
1994,3985.067219,4016.215445
1995,4010.833767,4033.829141
1996,4050.588828,4070.437919
1997,4114.535766,4125.587806
1998,4210.407478,4223.615472
1999,4335.713574,4336.760753
2000,4499.44032,4503.091062
2001,4707.688421,4709.028688
2002,4937.661832,4937.888696
2003,5205.007711,5201.07162
2004,5496.848657,5496.841243
2005,5790.74221,5788.004199
2006,6086.253771,6093.354999
2007,6373.465231,6389.826635
2008,6643.614548,6653.926164
2009,6882.505952,6892.397426
2010,7065.548868,7077.975442
2011,7209.605635,7204.019921
2012,7294.252152,7277.365058
2013,7318.657209,7318.316212
2014,7308.664696,7303.799485
2015,7267.527035,7264.133055
2016,7202.686221,7203.547761
2017,7144.682295,7146.050858
2018,7075.072227,7081.805904
2019,7020.568211,7037.808002
2020,6975.502639,7000.118309
2021,6955.268055,6962.020184
2022,6945.191251,
