Date,,EKE_RegionA_monthlyAve,EKE_RegB_MonthlyAve
15-Jan-93,1:00,46,208
14-Feb-93,2:00,76.5,92
16-Mar-93,3:00,199.5,204
16-Apr-93,4:00,146,306
16-May-93,5:00,235.6,372
16-Jun-93,6:00,155.9,212
16-Jul-93,7:00,204.6,322
16-Aug-93,8:00,105.5,288
15-Sep-93,9:00,78.4,254
15-Oct-93,10:00,32.2,212
15-Nov-93,11:00,29.4,159
15-Dec-93,12:00,44.2,90
15-Jan-94,13:00,31,93
14-Feb-94,14:00,65.3,154
17-Mar-94,15:00,141.4,208
16-Apr-94,16:00,222,201
16-May-94,17:00,129.2,251
16-Jun-94,18:00,72.4,122
16-Jul-94,19:00,67.8,99
16-Aug-94,20:00,60.5,68
15-Sep-94,21:00,39.3,28
16-Oct-94,22:00,21.7,32
15-Nov-94,23:00,41,34
16-Dec-94,24:00:00,108.6,117
15-Jan-95,25:00:00,191.5,133
14-Feb-95,26:00:00,276.4,302
17-Mar-95,27:00:00,366.2,327
16-Apr-95,28:00:00,279.5,203
17-May-95,29:00:00,94.2,232
16-Jun-95,30:00:00,17.3,136
17-Jul-95,31:00:00,34.4,100
16-Aug-95,32:00:00,31.9,75
15-Sep-95,33:00:00,20.5,65
16-Oct-95,34:00:00,30.2,88
15-Nov-95,35:00:00,58.8,124
16-Dec-95,36:00:00,56.3,115
15-Jan-96,37:00:00,160.8,196
15-Feb-96,38:00:00,151,243
16-Mar-96,39:00:00,137.7,155
16-Apr-96,40:00:00,95.1,302
16-May-96,41:00:00,81,259
15-Jun-96,42:00:00,34.1,217
16-Jul-96,43:00:00,28.9,287
15-Aug-96,44:00:00,30.1,290
15-Sep-96,45:00:00,17.4,248
15-Oct-96,46:00:00,41.5,189
15-Nov-96,47:00:00,22.4,124
15-Dec-96,48:00:00,32.5,108
14-Jan-97,49:00:00,125.9,76
14-Feb-97,50:00:00,263.6,84
16-Mar-97,51:00:00,195.2,240
16-Apr-97,52:00:00,124.4,245
16-May-97,53:00:00,149.3,249
16-Jun-97,54:00:00,106.8,108
16-Jul-97,55:00:00,57.2,101
16-Aug-97,56:00:00,58.9,134
15-Sep-97,57:00:00,35.8,92
15-Oct-97,58:00:00,45.3,61
15-Nov-97,59:00:00,58.5,73
15-Dec-97,60:00:00,311.4,190
15-Jan-98,61:00:00,674,432
14-Feb-98,62:00:00,741,813
17-Mar-98,63:00:00,682.2,1081
16-Apr-98,64:00:00,533.4,825
16-May-98,65:00:00,119,403
16-Jun-98,66:00:00,184.5,147
16-Jul-98,67:00:00,249.4,150
16-Aug-98,68:00:00,190.1,88
15-Sep-98,69:00:00,130.4,23
16-Oct-98,70:00:00,121.4,32
15-Nov-98,71:00:00,103,101
16-Dec-98,72:00:00,92.8,103
