Name,COMU_Laz,TBMU_Laz,FTSP_Laz,LSP_Laz
1990,NA,NA,NA,NA
1991,NA,NA,NA,NA
1992,NA,NA,NA,NA
1993,NA,NA,NA,NA
1994,0.71,0.46,NA,NA
1995,0.47,0.37,0.47,0.58
1996,0.56,0.47,0.66,0.74
1997,0.72,0.8,0.61,0.76
1998,0.76,0.46,0.63,0.62
1999,0.54,0.3,0.46,0.66
2000,0.57,0.61,0.63,0.66
2001,0.84,0.67,0.76,0.77
2002,0.58,0.51,0.87,0.82
2003,0.67,0.72,0.8,0.74
2004,0.43,0.34,0.79,0.76
2005,0.35,0.28,0.71,0.73
2006,0.48,0.41,0.71,0.71
2007,0.38,0.59,0.78,0.82
2008,0.56,0.54,0.82,0.7
2009,0.61,0.55,0.8,0.83
2010,0.16,0.14,0.68,0.67
2011,0.47,0.51,0.62,0.51
2012,0.69,0.55,0.83,0.59
2013,0.67,0.52,0.46,0.82
2014,0.22,0.27,0.47,0.76
2015,0.79,0.83,0.68,0.66
2016,0,0.06,0.66,0.7
2017,NA,NA,NA,NA
2018,0.72,0.8,0.8,0.68
2019,0.67,0.87,0.74,0.82
2020,NA,NA,NA,NA
2021,0.61,0.35,0.69,0.65
2022,0.6,0.68,0.83,0.79
