Year,West_apex,West_motile,East_apex,East_motile
1984,2494.044488,5464.106724,359.1172865,490.4939384
1987,2195.223261,1570.091461,393.4727623,125.593427
1990,2932.899841,3042.387882,293.5282331,676.9842972
1993,2814.540859,4849.256837,446.028036,952.6035704
1996,2782.784419,5937.285041,391.0547585,1206.429878
1999,2087.210023,5736.545413,411.2923598,991.1127904
2001,2422.875068,10736.29015,NA,NA
2003,3821.556101,11119.56589,485.1464398,1167.700619
2005,2927.600202,7812.635777,408.340357,1455.332459
2007,2641.684427,7619.162515,430.5753683,851.6478499
2009,2935.66656,10455.30203,478.8999949,801.4326013
2011,2456.093591,7232.090532,483.209917,1202.304015
2013,1998.293443,7273.428548,514.3249796,2105.474332
2015,2049.286937,12461.03129,670.0873053,729.4909681
2017,1396.213019,6495.67076,368.899312,1059.366543
2019,1627.935694,8112.617543,362.9674767,1501.111741
2021,1794.300592,5396.143992,329.5769813,639.7112959
