year,pup_pred_count,nonpup_pred_count
1973,7070.966565,44502.19758
1974,7285.176378,43428.68444
1975,7580.564863,41620.79062
1976,7936.445855,40262.87274
1977,8345.737578,39433.29047
1978,8879.778834,37095.72369
1979,8963.57542,33255.24992
1980,8488.948986,28558.91824
1981,8077.197561,23581.15844
1982,7689.719743,19138.59333
1983,6873.386889,15415.06962
1984,6184.842999,12507.45983
1985,5351.002967,10343.61623
1986,4539.606474,8764.137944
1987,3857.883156,7695.48966
1988,3293.006039,6971.462216
1989,2831.02929,6474.057294
1990,2515.18949,6095.947692
1991,2306.455807,5771.878387
1992,2170.076568,5488.989435
1993,2097.077048,5263.726898
1994,2048.145454,5097.24319
1995,2000.57507,4951.712059
1996,1937.540201,4888.595658
1997,1860.646995,4852.694891
1998,1783.610717,4859.796602
1999,1717.022633,4904.220262
2000,1677.025088,4966.810847
2001,1675.132299,5031.773068
2002,1704.246747,5090.3944
2003,1773.254698,5182.594166
2004,1876.229978,5327.29031
2005,1999.919735,5574.330171
2006,2139.563439,5905.318152
2007,2287.388439,6362.180043
2008,2421.10137,6912.87251
2009,2519.381074,7500.175262
2010,2581.798784,8047.199454
2011,2619.334842,8417.630442
2012,2639.434968,8571.768839
2013,2657.576471,8491.409119
2014,2679.254053,8273.025822
2015,2715.723579,8050.384919
2016,2753.202165,7939.278441
2017,2796.819052,7889.413283
2018,2829.937243,13820.44679
2019,2854.364541,13390.41197
2020,2871.838198,12818.79066
2021,2892.01759,12490.73298
2022,2903.11331,12435.78597
1973,1377.578192,12361.8072
1974,1216.503493,12191.81585
1975,1069.836617,11857.19414
1976,941.8085328,11251.02314
1977,835.0784318,10411.32052
1978,747.7148741,9415.996004
1979,689.4908896,8339.717263
1980,667.7505471,7264.879745
1981,651.807323,6277.372015
1982,637.8632693,5400.546889
1983,659.9840495,4714.71922
1984,691.5498297,4191.850751
1985,746.8014178,3806.150351
1986,818.3960201,3518.975055
1987,905.7072946,3338.680867
1988,1013.975798,3265.561005
1989,1155.123366,3263.712066
1990,1248.609405,3333.552786
1991,1272.975832,3422.621306
1992,1217.516931,3536.230922
1993,1109.755276,3643.576412
1994,994.3323194,3787.877784
1995,885.4133135,3955.309289
1996,808.3288687,4146.359539
1997,757.3832559,4360.530839
1998,726.788923,4624.090655
1999,713.0747705,4906.095179
2000,706.7596096,5226.445139
2001,708.7282754,5535.576231
2002,716.8743276,5756.692616
2003,730.9846517,5902.221319
2004,753.4524454,5980.769547
2005,788.0926954,5943.468623
2006,832.9053793,5771.708488
2007,883.9983394,5526.194072
2008,941.1891423,5190.314956
2009,1003.772349,4886.497701
2010,1059.654349,4691.626482
2011,1104.87278,4553.288984
2012,1125.2933,4493.994115
2013,1126.265558,20549.0609
2014,1108.370895,19342.50566
2015,1083.157815,17359.16738
2016,1059.186843,15819.34239
2017,1046.878743,14608.00798
2018,1044.676379,13090.00704
2019,1057.510522,11506.85463
2020,1079.553986,9966.872599
2021,1105.686391,8623.733817
2022,1125.529768,7590.23783
1973,15989.74819,6886.127607
1974,16353.08697,6441.1738
1975,16803.31124,6233.513711
1976,17298.2643,6162.033588
1977,17898.3834,6190.12439
1978,18584.1894,6234.266983
1979,18966.60718,6247.328725
1980,18793.92512,6170.077808
1981,18672.43627,6125.130541
1982,18662.98659,5983.979001
1983,17711.85604,5778.90562
1984,16879.04393,5561.436837
1985,15112.59079,5393.903107
1986,12761.90475,5314.899312
1987,10231.81301,5338.525787
1988,8214.256917,5508.109278
1989,6621.12242,5729.026173
1990,5342.325227,6067.887153
1991,4381.321757,6433.629855
1992,3683.642109,6831.260211
1993,3196.621295,7205.550087
1994,2848.69626,7542.759615
1995,2601.100459,7821.769874
1996,2406.494145,8054.22388
1997,2250.455448,8217.298274
1998,2104.977402,8330.853219
1999,1980.088792,8420.054289
2000,1869.282102,8460.053382
2001,1776.679099,8490.890535
2002,1712.737677,8483.736382
2003,1682.936559,8470.193016
2004,1689.801927,8446.342948
2005,1731.217355,8477.473396
2006,1800.975347,8559.466039
2007,1877.703634,8636.834871
2008,1972.419465,
2009,2081.75814,
2010,2187.871177,
2011,2284.71224,
2012,2367.769519,
2013,2431.888489,
2014,2471.916731,
2015,2507.167731,
2016,2543.474362,
2017,2571.113476,
2018,2602.824461,
2019,2630.763659,
2020,2664.701124,
2021,2698.546671,
2022,2728.942112,
