,NINO3.4,PDO,NPI,NPGO,AO
1968.0,-0.64,,,,
1968.1,-0.74,-0.54752952,-0.75903535,-0.607049154,-0.3809259
1968.2,-0.62,-0.573916485,-1.051624973,-0.724664738,-0.039390148
1968.3,-0.44,-0.616795303,0.507542228,-0.914692691,0.847119885
1968.3,-0.04,-0.629988786,0.586038059,-1.036502159,0.234950646
1968.4,0.28,-0.115442971,0.051993799,-0.99546236,-0.304462672
1968.5,0.58,0.122039712,-0.262465256,-0.905508974,-0.503730479
1968.6,0.53,0.257272907,-0.122138479,-0.868434686,-1.165948376
1968.7,0.45,-0.029685335,-0.292553988,-0.783302558,-1.247972566
1968.8,0.55,-0.237482684,-0.927182667,-0.563093069,-1.948653784
1968.8,0.73,-0.676165974,-0.325263702,-0.549384392,-1.843922332
1968.9,0.98,-0.97961607,1.144310812,-1.095772323,-2.749432318
1969.0,1.13,-1.147832971,2.12125294,-1.24923857,-3.180870291
1969.1,1.09,-0.893858434,1.3881744,-1.208626717,-3.55113768
1969.2,0.95,-0.623392044,-0.191565106,-0.495981615,-1.973214699
1969.3,0.77,-0.376014249,-0.815064856,-0.302198426,-0.863802771
1969.3,0.61,0.082459265,-1.409543154,-0.314811431,-0.291950507
1969.4,0.43,0.260571278,-0.618307676,-0.479061872,-0.304926086
1969.5,0.36,0.059370671,-0.075379517,-0.521484263,-0.333657723
1969.6,0.51,-0.451876773,-0.004541729,-0.284327687,-0.210853144
1969.7,0.79,-0.115442971,-0.709309743,0.021841709,-0.355438157
1969.8,0.86,0.201200607,-0.874264129,0.079143427,0.158024005
1969.8,0.81,0.87406821,-1.63557658,0.412665929,-0.663608138
1969.9,0.63,0.705851309,-1.22366011,0.268229812,-1.826776032
1970.0,0.51,0.798205686,-2.04238472,0.184231693,-2.591871727
1970.1,0.34,0.781713833,-1.638872853,-0.277611352,-2.697530006
1970.2,0.29,0.722343162,-1.292698311,-0.286648383,-1.439825757
1970.3,0.19,0.418893067,-0.112335186,-0.04505685,-0.579730293
1970.3,0.04,0,0.458997933,0.189926546,0.791510265
1970.4,-0.3,-0.366119137,-0.054199629,0.33814004,0.715973863
1970.5,-0.63,-0.742133386,-0.236807783,0.316889257,0.348023541
1970.6,-0.76,-1.312751501,-0.039108046,0.325206793,-0.043560869
1970.7,-0.77,-1.546935814,0.500333191,0.311381723,-0.062560823
1970.8,-0.74,-1.273171053,1.006036633,0.123169276,0.234487233
1970.8,-0.86,-1.042285111,1.676910056,-0.017823755,0.03568284
1970.9,-1.15,-1.210502012,2.37604768,-0.146170606,-0.085268085
1971.0,-1.36,-1.520548849,1.776124296,-0.06404738,-0.68770564
1971.1,-1.38,-1.754733162,1.053380016,0.093546659,-1.008387784
