Type,Code,Name,cli_indicator,mtl_indicator,ltl_indicator,sb_indicator,all.bio_Indicator,System,Subsystem,Habitat,Units,Source,ESRReportCard,ESR,Notes,DataAcquirer,Contact_data_usage,
CLI,NPI,North Pacific Index,0,0,0,0,0,GOA,WGOA,Pelagic,mean values NDJFM,NCAE,,,,3/27/23,,https://climatedataguide.ucar.edu/climate-data/north-pacific-np-index-trenberth-and-hurrell-monthly-and-winter
CLI,SHEL.APRMAY.WINDDIR,Direction of spring Shelikof winds,1,0,0,0,0,GOA,WGOA,Pelagic,mean april-may wind direction at AMAA2 mooring,NBDC,N,Y,mean april-may wind direction at AMAA2 mooring,Lauren,Lauren Rogers,
CLI,SST.WGOA.COASTWATCH.JUNJULAUG,SST shelf waters (10-200m but only surface temps) average summer (Jun-Aug ); satellite,1,0,0,0,0,GOA,WGOA,Pelagic,oC (ave Jun-Aug),NOAA Coral Reef Watch Program,N,Y,satellite-derived data (Coral Reef Watch Program); daily data averaged (Jun-Aug) over WGOA shelf (surface over 10m-200m depth),Bridget,Matt Calahan,
CLI,BTS.WGOA.TEMP.SUM.1TO5M,Surface temperature (1m-5m) average summer; average across shelf,1,0,0,0,0,GOA,WGOA,Demersal,oC ave of summer bottom trawl (varying dates but May-Aug),AFSC Bottom Trawl Survey,N,Y,,Bridget Ferriss,Ned Laman,
CLI,BTS.WGOA.TEMP.SUM.195TO205M,Ocean temperature (195m-205m) average summer; average across shelf,1,0,0,0,0,GOA,WGOA,Demersal,oC ave of summer bottom trawl (varying dates but May-Aug),AFSC Bottom Trawl Survey,N,Y,,Bridget Ferriss,Ned Laman,
CLI,LL.WGOA.TEMP.SUM.246TO255M,Ocean temperature (246m - 255m); summer temperatures average along shelf edge (not whole shelf like bottom trawl survey),1,0,0,0,0,GOA,WGOA,Demersal,summer,Longline Survey,N,Y,upper continental slope (edge of shelf),Bridget Ferriss,Kevin Siwicke,
CLI,SWLN.TEMP.FALL.0TO10M,Ocean temperature (0-10m) surface; Sept; Seward Line transect (a line from from Seward across the shelf),0,0,0,0,0,GOA,WGOA,Pelagic,Sept,Seward Line,N,Y,hydrographic transects have been completed in May (typically during the first 10 days of the month) along a sampling line that extends from the mouth of Resurrection Bay near Seward to the outer continental slope of the northern GOA,Bridget Ferriss,Seth Danielson,
CLI,SWLN.TEMP.SPR.0TO10M,Ocean temperature (0-10m) surface; May; Seward Line transect (a line from from Seward across the shelf),1,0,0,0,0,GOA,WGOA,Pelagic,May,Seward Line,N,Y,hydrographic transects have been completed in May (typically during the first 10 days of the month) along a sampling line that extends from the mouth of Resurrection Bay near Seward to the outer continental slope of the northern GOA,Bridget Ferriss,Seth Danielson,
CLI,SWLN.TEMP.FALL.176TO226M,Ocean temperature (0-10m) surface; Sept; Seward Line transect (a line from from Seward across the shelf),0,0,0,0,0,GOA,WGOA,Demersal,Sept,Seward Line,N,Y,hydrographic transects have been completed in May (typically during the first 10 days of the month) along a sampling line that extends from the mouth of Resurrection Bay near Seward to the outer continental slope of the northern GOA,Bridget Ferriss,Seth Danielson,
CLI,SWLN.TEMP.SPR.176TO226M,Ocean temperature (0-10m) surface; May; Seward Line transect (a line from from Seward across the shelf),0,0,0,0,0,GOA,WGOA,Demersal,May,Seward Line,N,Y,hydrographic transects have been completed in May (typically during the first 10 days of the month) along a sampling line that extends from the mouth of Resurrection Bay near Seward to the outer continental slope of the northern GOA,Bridget Ferriss,Seth Danielson,
CLI,ADFG.LMESH.TEMP.SUMM.BTTM,Ocean temperature bottom (varying depth) on shelf around Kodiak Island; summer,0,0,0,0,0,GOA,WGOA,Demersal,summer,ADF&G Large Mesh Trawl Survey,N,Y,"annual trawl survey for crab and groundfish in GOA targeting areas of crab habitat around Kodiak Island, the Alaska Peninsula, and the Eastern Aleutian Islands",Bridget Ferriss,Seth Danielson,
CLI,PDO.DJF,"Pacific Decadal Index; average Dec, Jan, Feb",0,0,0,0,0,GOA,WGOA,Both,Nick Bond selected these months,,Y,Y,,Bridget Ferriss,,
CLI,ENSO.DJ,"El Nino Southern Oscillation; average Dec, Jan",0,0,0,0,0,GOA,WGOA,Both,Nick Bond selected these months,,Y,Y,,Bridget Ferriss,,
CLI,EKE.REGC.DJF,"Eddy Kinetic Energy from Region C (average Dec, Jan, Feb)",1,0,0,0,0,GOA,WGOA,Pelagic,cm2/s2,,N,Y,calculated from sea level height anomalies (gridded altimetry data); regions A-D are local maxima across GOA across the altimetry record (since 1992);,Bridget Ferriss,Wei Cheng,
CLI,EKE.REGC.MAM,"Eddy Kinetic Energy from Region C (average MAr, Apr, May)",0,0,0,0,0,GOA,WGOA,Pelagic,cm2/s2,,N,Y,calculated from sea level height anomalies (gridded altimetry data); regions A-D are local maxima across GOA across the altimetry record (since 1992);,Bridget Ferriss,Wei Cheng,
CLI,EKE.REGC.JJA,"Eddy Kinetic Energy from Region C (average Jun, Jul, Aug)",0,0,0,0,0,GOA,WGOA,Pelagic,cm2/s2,,N,Y,calculated from sea level height anomalies (gridded altimetry data); regions A-D are local maxima across GOA across the altimetry record (since 1992);,Bridget Ferriss,Wei Cheng,
CLI,EKE.REGD.DJF,"Eddy Kinetic Energy from Region D (average Dec, Jan, Feb)",0,0,0,0,0,GOA,WGOA,Pelagic,cm2/s2,,N,Y,calculated from sea level height anomalies (gridded altimetry data); regions A-D are local maxima across GOA across the altimetry record (since 1992);,Bridget Ferriss,Wei Cheng,
CLI,EKE.REGD.MAM,"Eddy Kinetic Energy from Region D (average MAr, Apr, May)",0,0,0,0,0,GOA,WGOA,Pelagic,cm2/s2,,N,Y,calculated from sea level height anomalies (gridded altimetry data); regions A-D are local maxima across GOA across the altimetry record (since 1992);,Bridget Ferriss,Wei Cheng,
CLI,EKE.REGD.JJA,"Eddy Kinetic Energy from Region D (average Jun, Jul, Aug)",0,0,0,0,0,GOA,WGOA,Pelagic,cm2/s2,,N,Y,calculated from sea level height anomalies (gridded altimetry data); regions A-D are local maxima across GOA across the altimetry record (since 1992);,Bridget Ferriss,Wei Cheng,
CLI,AKCLIM_GOA_N60W149,N60W149 upwelling,1,0,0,0,0,GOA,WGOA,,,PFEL,N,N,JJA values - season when downwelling relaxes,Mike,,
CLI,AKCLIM_GOA_N60W146,N60W146 upwelling,1,0,0,0,0,GOA,WGOA,,,PFEL,N,N,JJA values - season when downwelling relaxes,Mike,,
CLI,AKCLIM_GOA_wgoa.win.sst,Western GOA winter SST,1,0,0,0,0,GOA,WGOA,pelagic,,ERSST,N,N,NDJFM monthly anomalies,Mike,,
CLI,AKCLIM_GOA_wgoa.spr.sst,Western GOA spring SST,1,0,0,0,0,GOA,WGOA,pelagic,,ERSST,N,N,AMJ monthly anomalies,Mike,,
CLI,AKCLIM_GAK1_salinity20m_FMA,GAK1 spring 20m salinity,1,0,0,0,0,GOA,WGOA,pelagic,,UAF,N,N,"FMA values, adjusted for mean sampling date",Mike,Seth Danielson,
BIO,BTS.APEX.PRED.BIOM,Bottom Trawl Survey Apex Predator Biomass,0,0,0,0,0,GOA,WGOA,Both,1000t,AFSC Bottom Trawl Survey,Y,Y,"foraging guild biomass caught modified by Ecopath-estimated catchability coefficient, weighted by strata area (km2); biomass dominated by arrowtooth flounder, Pacific cod, Pacic halibut, and sablfish",Bridget,Andy Whitehouse,
BIO,BTS.MOTILE.EPI.BIOM,Bottom Trawl Survey Motile Epifauna Biomass,0,0,0,0,0,GOA,WGOA,Demersal,1000t,AFSC Bottom Trawl Survey,Y,Y,"foraging guild biomass caught modified by Ecopath-estimated catchability coefficient , weighted by strata area (km2); guild dominated by biomass of hermit crabs, brittle stars, other echinoderms, and octopus",Bridget,Andy Whitehouse,
BIO,SSL.WEST.PUP.PRED,Steller Sea Lion Pup predicted counts western DPS (within GOA),0,0,0,0,0,GOA,WGOA,Pelagic,predicted counts,AFSC Steller Sea Lion survey,N,Y,"derived model counts to represent min population estimate (does not account for animals at sea during survey); allows estimates for missing sites and years of survey; west, central and east SSL regions align with WGOA in the ecosystem state indices study (west region extends beyond west boundary of WGOA); SEAK SSL region aligns with EGOA region of ecosystem state indices study (also extends in BC waters)",Bridget,Katie Sweeney,
BIO,SSL.WEST.NP.PRED,Steller Sea Lion NonPup predicted counts western DPS (within GOA),0,0,0,0,0,GOA,WGOA,Pelagic,predicted counts,AFSC Steller Sea Lion survey,Y,Y,"derived model counts to represent min population estimate (does not account for animals at sea during survey); allows estimates for missing sites and years of survey; west, central and east SSL regions align with WGOA in the ecosystem state indices study (west region extends beyond west boundary of WGOA); SEAK SSL region aligns with EGOA region of ecosystem state indices study (also extends in BC waters)",Bridget,Katie Sweeney,
BIO,SSL.EAST.PUP.PRED,Steller Sea Lion Pup predicted counts eastern DPS (within GOA),0,0,0,0,0,GOA,WGOA,Pelagic,predicted counts,AFSC Steller Sea Lion survey,N,Y,"derived model counts to represent min population estimate (does not account for animals at sea during survey); allows estimates for missing sites and years of survey; west, central and east SSL regions align with WGOA in the ecosystem state indices study (west region extends beyond west boundary of WGOA); SEAK SSL region aligns with EGOA region of ecosystem state indices study (also extends in BC waters)",Bridget,Katie Sweeney,
BIO,SSL.EAST.NP.PRED,Steller Sea Lion NonPup predicted counts eastern DPS (within GOA),0,0,0,0,0,GOA,WGOA,Pelagic,predicted counts,AFSC Steller Sea Lion survey,Y,Y,"derived model counts to represent min population estimate (does not account for animals at sea during survey); allows estimates for missing sites and years of survey; west, central and east SSL regions align with WGOA in the ecosystem state indices study (west region extends beyond west boundary of WGOA); SEAK SSL region aligns with EGOA region of ecosystem state indices study (also extends in BC waters)",Bridget,Katie Sweeney,
BIO,SSL.CENT.PUP.PRED,Steller Sea Lion Pup predicted counts central DPS (within GOA),0,0,0,0,0,GOA,WGOA,Pelagic,predicted counts,AFSC Steller Sea Lion survey,N,Y,"derived model counts to represent min population estimate (does not account for animals at sea during survey); allows estimates for missing sites and years of survey; west, central and east SSL regions align with WGOA in the ecosystem state indices study (west region extends beyond west boundary of WGOA); SEAK SSL region aligns with EGOA region of ecosystem state indices study (also extends in BC waters)",Bridget,Katie Sweeney,
BIO,SSL.CENT.NP.PRED,Steller Sea Lion NonPup predicted counts central DPS (within GOA),0,0,0,0,0,GOA,WGOA,Pelagic,predicted counts,AFSC Steller Sea Lion survey,Y,Y,"derived model counts to represent min population estimate (does not account for animals at sea during survey); allows estimates for missing sites and years of survey; west, central and east SSL regions align with WGOA in the ecosystem state indices study (west region extends beyond west boundary of WGOA); SEAK SSL region aligns with EGOA region of ecosystem state indices study (also extends in BC waters)",Bridget,Katie Sweeney,
BIO,SB.REPSUC.COMU.CHOW,Common murre reproductive success at Chowiet Island,0,0,0,1,0,GOA,WGOA,Pelagic,proportion of nests with fledged chicks from the total number of nests built,USFWS colony surveys,N,Y,diving piscivore,Bridget,Brie Drummond (USFWS),
BIO,SB.REPSUC.TBMU.CHOW,Thick-billed murre reproductive success at Chowiet Island,0,0,0,1,0,GOA,WGOA,Pelagic,proportion of nests with fledged chicks from the total number of nests built,USFWS colony surveys,N,Y,piscivore,Bridget,Brie Drummond (USFWS),
BIO,SB.REPSUC.HPUFF.CHOW,Horned puffin reproductive success at Chowiet Island,0,0,0,1,0,GOA,WGOA,Pelagic,proportion of nests with fledged chicks from the total number of nests built,USFWS colony surveys,N,Y,piscivore,Bridget,Brie Drummond (USFWS),
BIO,SB.REPSUC.TPUF.CHOW,Tufted puffin reproductive success at Chowiet Island,0,0,0,1,1,GOA,WGOA,Pelagic,proportion of nests with fledged chicks from the total number of nests built,USFWS colony surveys,N,Y,diving piscivore,Bridget,Brie Drummond (USFWS),
BIO,SB.REPSUC.BLK.CHOW,Black-legged kittiwake reproductive success at Chowiet Island,0,0,0,1,1,GOA,WGOA,Pelagic,proportion of nests with fledged chicks from the total number of nests built,USFWS colony surveys,Y,Y,surface piscivore (some plankton),Bridget,Brie Drummond (USFWS),
BIO,SB.REPSUC.PAUK.CHOW,Parakeet aucklets reproductive success at Chowiet Island,0,0,0,1,1,GOA,WGOA,Pelagic,proportion of nests with fledged chicks from the total number of nests built,USFWS colony surveys,N,Y,diving planktivore,Bridget,Brie Drummond (USFWS),
