Date,,EKE_RegC_monthly_ave,EKE_RegD_monthly_ave
15-Jan-93,1:00,80,36.9
14-Feb-93,2:00,166,45.2
16-Mar-93,3:00,86,25.6
16-Apr-93,4:00,75,39.2
16-May-93,5:00,452,327.8
16-Jun-93,6:00,187,634.4
16-Jul-93,7:00,34,637.9
16-Aug-93,8:00,40,623.1
15-Sep-93,9:00,38,455.8
15-Oct-93,10:00,23,134.5
15-Nov-93,11:00,37,54.9
15-Dec-93,12:00,74,26.9
15-Jan-94,13:00,62,22.8
14-Feb-94,14:00,39,55.7
17-Mar-94,15:00,132,34.4
16-Apr-94,16:00,236,25.5
16-May-94,17:00,244,17.5
16-Jun-94,18:00,269,13.1
16-Jul-94,19:00,230,13.4
16-Aug-94,20:00,164,19.5
15-Sep-94,21:00,208,27.2
16-Oct-94,22:00,117,20.2
15-Nov-94,23:00,61,29.2
16-Dec-94,24:00:00,33,99.2
15-Jan-95,25:00:00,95,91.1
14-Feb-95,26:00:00,360,40.2
17-Mar-95,27:00:00,293,34.6
16-Apr-95,28:00:00,202,55.1
17-May-95,29:00:00,112,49.6
16-Jun-95,30:00:00,53,27.6
17-Jul-95,31:00:00,93,116
16-Aug-95,32:00:00,51,266
15-Sep-95,33:00:00,30,305.8
16-Oct-95,34:00:00,34,423.5
15-Nov-95,35:00:00,56,412
16-Dec-95,36:00:00,79,235.4
15-Jan-96,37:00:00,150,86.3
15-Feb-96,38:00:00,94,117.5
16-Mar-96,39:00:00,323,112.5
16-Apr-96,40:00:00,305,20.8
16-May-96,41:00:00,84,22.7
15-Jun-96,42:00:00,39,47.4
16-Jul-96,43:00:00,92,31.4
15-Aug-96,44:00:00,106,17.2
15-Sep-96,45:00:00,29,31.5
15-Oct-96,46:00:00,29,67.9
15-Nov-96,47:00:00,151,46.9
15-Dec-96,48:00:00,143,41.3
14-Jan-97,49:00:00,125,47.9
14-Feb-97,50:00:00,139,76.4
16-Mar-97,51:00:00,393,66.6
16-Apr-97,52:00:00,224,68
16-May-97,53:00:00,365,41.3
16-Jun-97,54:00:00,200,144.9
16-Jul-97,55:00:00,120,172.1
16-Aug-97,56:00:00,205,106.6
15-Sep-97,57:00:00,115,46.9
15-Oct-97,58:00:00,168,68.9
15-Nov-97,59:00:00,182,87.6
15-Dec-97,60:00:00,99,118.3
15-Jan-98,61:00:00,319,121.6
14-Feb-98,62:00:00,277,154.6
17-Mar-98,63:00:00,104,123
16-Apr-98,64:00:00,58,199
16-May-98,65:00:00,68,104.6
16-Jun-98,66:00:00,54,41.6
16-Jul-98,67:00:00,35,34.8
16-Aug-98,68:00:00,53,33.5
15-Sep-98,69:00:00,105,57.1
16-Oct-98,70:00:00,90,153.9
15-Nov-98,71:00:00,116,153.6
16-Dec-98,72:00:00,134,88.3
15-Jan-99,73:00:00,93,51.7
14-Feb-99,74:00:00,255,101.6
17-Mar-99,75:00:00,251,96.8
16-Apr-99,76:00:00,193,62.5
17-May-99,77:00:00,161,50.1
16-Jun-99,78:00:00,412,33.8
17-Jul-99,79:00:00,400,50.6
16-Aug-99,80:00:00,282,26
15-Sep-99,81:00:00,259,30.8
16-Oct-99,82:00:00,199,69.6
15-Nov-99,83:00:00,94,49.7
16-Dec-99,84:00:00,295,24.3
15-Jan-00,85:00:00,129,33.8
15-Feb-00,86:00:00,126,91.3
16-Mar-00,87:00:00,79,102.5
16-Apr-00,88:00:00,117,35.2
16-May-00,89:00:00,93,36.5
15-Jun-00,90:00:00,402,34.6
16-Jul-00,91:00:00,411,26.1
15-Aug-00,92:00:00,304,26.4
15-Sep-00,93:00:00,335,85
15-Oct-00,94:00:00,210,276.8
15-Nov-00,95:00:00,92,427.3
15-Dec-00,96:00:00,120,355.1
14-Jan-01,97:00:00,145,343.1
14-Feb-01,98:00:00,96,116.7
16-Mar-01,99:00:00,112,36.7
16-Apr-01,100:00:00,258,16.3
16-May-01,101:00:00,300,35.4
16-Jun-01,102:00:00,440,26.6
16-Jul-01,103:00:00,208,20.4
15-Aug-01,104:00:00,166,29.2
15-Sep-01,105:00:00,40,65.6
15-Oct-01,106:00:00,33,60.5
15-Nov-01,107:00:00,82,53.3
15-Dec-01,108:00:00,108,53.8
15-Jan-02,109:00:00,258,100.7
14-Feb-02,110:00:00,829,80.4
17-Mar-02,111:00:00,637,85.7
16-Apr-02,112:00:00,393,50
16-May-02,113:00:00,208,28.5
16-Jun-02,114:00:00,60,19.3
16-Jul-02,115:00:00,41,17.7
16-Aug-02,116:00:00,133,39.4
15-Sep-02,117:00:00,133,99.2
16-Oct-02,118:00:00,126,120.5
15-Nov-02,119:00:00,93,348.5
15-Dec-02,120:00:00,209,412
15-Jan-03,121:00:00,282,173.1
14-Feb-03,122:00:00,78,80.9
17-Mar-03,123:00:00,95,74.7
16-Apr-03,124:00:00,343,35.5
17-May-03,125:00:00,594,48.7
16-Jun-03,126:00:00,497,43.6
17-Jul-03,127:00:00,453,14.8
16-Aug-03,128:00:00,338,6.1
15-Sep-03,129:00:00,155,19.3
16-Oct-03,130:00:00,71,64.7
15-Nov-03,131:00:00,30,60.2
16-Dec-03,132:00:00,61,98.6
15-Jan-04,133:00:00,96,99
15-Feb-04,134:00:00,264,68.2
16-Mar-04,135:00:00,561,20.6
15-Apr-04,136:00:00,553,51.1
16-May-04,137:00:00,384,195.4
15-Jun-04,138:00:00,251,192.1
16-Jul-04,139:00:00,155,420.1
15-Aug-04,140:00:00,90,511.3
15-Sep-04,141:00:00,74,482.6
15-Oct-04,142:00:00,44,352.5
15-Nov-04,143:00:00,55,381.4
15-Dec-04,144:00:00,62,284.1
14-Jan-05,145:00:00,81,247
14-Feb-05,146:00:00,170,240
16-Mar-05,147:00:00,141,200.1
16-Apr-05,148:00:00,83,261.9
16-May-05,149:00:00,85,157
16-Jun-05,150:00:00,39,103.9
16-Jul-05,151:00:00,36,24.1
15-Aug-05,152:00:00,77,19.3
15-Sep-05,153:00:00,91,22
15-Oct-05,154:00:00,45,19.9
15-Nov-05,155:00:00,38,23.5
15-Dec-05,156:00:00,70,66.2
15-Jan-06,157:00:00,145,149.5
14-Feb-06,158:00:00,158,46
17-Mar-06,159:00:00,109,54.7
16-Apr-06,160:00:00,111,24.4
16-May-06,161:00:00,121,17.8
16-Jun-06,162:00:00,68,40.5
16-Jul-06,163:00:00,46,53.3
16-Aug-06,164:00:00,120,144.3
15-Sep-06,165:00:00,290,144.6
16-Oct-06,166:00:00,182,496.3
15-Nov-06,167:00:00,46,248.7
15-Dec-06,168:00:00,109,74
15-Jan-07,169:00:00,199,93.4
14-Feb-07,170:00:00,400,53.8
17-Mar-07,171:00:00,446,63.1
16-Apr-07,172:00:00,444,46
17-May-07,173:00:00,316,148.6
16-Jun-07,174:00:00,110,299.3
17-Jul-07,175:00:00,95,570
16-Aug-07,176:00:00,37,612.1
15-Sep-07,177:00:00,54,501.7
16-Oct-07,178:00:00,113,312.7
15-Nov-07,179:00:00,123,251.2
16-Dec-07,180:00:00,191,258.8
15-Jan-08,181:00:00,197,138.6
15-Feb-08,182:00:00,348,222.6
16-Mar-08,183:00:00,406,108.9
15-Apr-08,184:00:00,344,40.9
16-May-08,185:00:00,228,54.2
15-Jun-08,186:00:00,110,43.2
16-Jul-08,187:00:00,58,105.2
15-Aug-08,188:00:00,52,46.2
15-Sep-08,189:00:00,58,38.7
15-Oct-08,190:00:00,75,37.4
15-Nov-08,191:00:00,81,69.5
15-Dec-08,192:00:00,133,44.1
14-Jan-09,193:00:00,91,63.4
14-Feb-09,194:00:00,25,75.9
16-Mar-09,195:00:00,31,85.5
16-Apr-09,196:00:00,177,31
16-May-09,197:00:00,63,24.7
16-Jun-09,198:00:00,122,45.3
16-Jul-09,199:00:00,103,30.5
15-Aug-09,200:00:00,81,18
15-Sep-09,201:00:00,45,69
15-Oct-09,202:00:00,40,69.5
15-Nov-09,203:00:00,86,40.1
15-Dec-09,204:00:00,102,71.1
15-Jan-10,205:00:00,86,159.4
14-Feb-10,206:00:00,334,216.7
16-Mar-10,207:00:00,400,154.4
16-Apr-10,208:00:00,353,67.5
16-May-10,209:00:00,289,54.2
16-Jun-10,210:00:00,172,86.3
16-Jul-10,211:00:00,261,127.5
16-Aug-10,212:00:00,334,142.3
15-Sep-10,213:00:00,231,146.1
16-Oct-10,214:00:00,149,332.4
15-Nov-10,215:00:00,268,575.1
15-Dec-10,216:00:00,244,315.9
15-Jan-11,217:00:00,217,233.4
14-Feb-11,218:00:00,76,235.6
17-Mar-11,219:00:00,85,142.3
16-Apr-11,220:00:00,257,85
17-May-11,221:00:00,136,130.3
16-Jun-11,222:00:00,545,42.6
16-Jul-11,223:00:00,232,29
16-Aug-11,224:00:00,171,28.5
15-Sep-11,225:00:00,120,24.2
16-Oct-11,226:00:00,98,47.7
15-Nov-11,227:00:00,112,36.9
16-Dec-11,228:00:00,27,34.8
15-Jan-12,229:00:00,174,26.2
15-Feb-12,230:00:00,207,41.2
16-Mar-12,231:00:00,107,39.3
15-Apr-12,232:00:00,226,306
16-May-12,233:00:00,263,732.6
15-Jun-12,234:00:00,126,892.4
16-Jul-12,235:00:00,84,608.9
15-Aug-12,236:00:00,114,470.2
15-Sep-12,237:00:00,107,237
15-Oct-12,238:00:00,190,279.9
14-Nov-12,239:00:00,167,158.3
15-Dec-12,240:00:00,110,76.9
14-Jan-13,241:00:00,89,32.2
14-Feb-13,242:00:00,389,24.7
16-Mar-13,243:00:00,242,80.5
16-Apr-13,244:00:00,91,420
16-May-13,245:00:00,38,678
16-Jun-13,246:00:00,52,395.8
16-Jul-13,247:00:00,49,115.4
15-Aug-13,248:00:00,48,78.2
15-Sep-13,249:00:00,58,17.3
15-Oct-13,250:00:00,100,21.7
15-Nov-13,251:00:00,56,20.9
15-Dec-13,252:00:00,63,32.7
15-Jan-14,253:00:00,132,21
14-Feb-14,254:00:00,126,21.7
16-Mar-14,255:00:00,147,14.4
16-Apr-14,256:00:00,95,12.6
16-May-14,257:00:00,141,17.3
16-Jun-14,258:00:00,407,36.1
16-Jul-14,259:00:00,359,52.8
16-Aug-14,260:00:00,274,33.3
15-Sep-14,261:00:00,269,18.5
16-Oct-14,262:00:00,116,77.6
