"","year","station","index"
"1",1967,"N54W134",-0.826086956521739
"2",1968,"N54W134",-15.0108695652174
"3",1969,"N54W134",-7.10869565217391
"4",1970,"N54W134",-14.8478260869565
"5",1971,"N54W134",-5.25
"6",1972,"N54W134",-5.30434782608696
"7",1973,"N54W134",-11
"8",1974,"N54W134",2.08695652173913
"9",1975,"N54W134",-7.71739130434783
"10",1976,"N54W134",-12.9782608695652
"11",1977,"N54W134",-3.39130434782609
"12",1978,"N54W134",5.42391304347826
"13",1979,"N54W134",-5.80434782608696
"14",1980,"N54W134",8.66304347826087
"15",1981,"N54W134",-10.6521739130435
"16",1982,"N54W134",4.71739130434783
"17",1983,"N54W134",-16.3695652173913
"18",1984,"N54W134",-124.858695652174
"19",1985,"N54W134",-4.5
"20",1986,"N54W134",-2.43478260869565
"21",1987,"N54W134",-8.16304347826087
"22",1988,"N54W134",-28.1086956521739
"23",1989,"N54W134",3.57608695652174
"24",1990,"N54W134",-3.8804347826087
"25",1991,"N54W134",-9.98913043478261
"26",1992,"N54W134",0.739130434782609
"27",1993,"N54W134",16.0869565217391
"28",1994,"N54W134",-1.17391304347826
"29",1995,"N54W134",-5.10869565217391
"30",1996,"N54W134",-14.1086956521739
"31",1997,"N54W134",-12.0760869565217
"32",1998,"N54W134",6.16304347826087
"33",1999,"N54W134",-20.054347826087
"34",2000,"N54W134",-3.78260869565217
"35",2001,"N54W134",-27.3152173913043
"36",2002,"N54W134",-22.4891304347826
"37",2003,"N54W134",-10.3152173913043
"38",2004,"N54W134",-0.978260869565217
"39",2005,"N54W134",-4.71739130434783
"40",2006,"N54W134",-1.96739130434783
"41",2007,"N54W134",-12.6304347826087
"42",2008,"N54W134",-26.2717391304348
"43",2009,"N54W134",-3.82608695652174
"44",2010,"N54W134",-3.30434782608696
"45",2011,"N54W134",-14.6521739130435
"46",2012,"N54W134",-7.35869565217391
"47",2013,"N54W134",0.576086956521739
"48",2014,"N54W134",-12.3152173913043
"49",2015,"N54W134",-1.68478260869565
"50",2016,"N54W134",5.40217391304348
"51",2017,"N54W134",-28.4021739130435
"52",2018,"N54W134",9.14130434782609
"53",2019,"N54W134",3.75
"54",2020,"N54W134",-23.445652173913
"55",2021,"N54W134",-3.07608695652174
"56",2022,"N54W134",-7.55434782608696
"57",1967,"N57W137",-3.04347826086957
"58",1968,"N57W137",-13.1304347826087
"59",1969,"N57W137",-3.25
"60",1970,"N57W137",-17.5652173913043
"61",1971,"N57W137",-6.30434782608696
"62",1972,"N57W137",-6.06521739130435
"63",1973,"N57W137",-5.93478260869565
"64",1974,"N57W137",1.73913043478261
"65",1975,"N57W137",-6.84782608695652
"66",1976,"N57W137",-7.67391304347826
"67",1977,"N57W137",-1.04347826086957
"68",1978,"N57W137",1.94565217391304
"69",1979,"N57W137",-7.55434782608696
"70",1980,"N57W137",1.8804347826087
"71",1981,"N57W137",-15.8695652173913
"72",1982,"N57W137",1.91304347826087
"73",1983,"N57W137",-14.1195652173913
"74",1984,"N57W137",-124.652173913043
"75",1985,"N57W137",-6.47826086956522
"76",1986,"N57W137",-6.95652173913043
"77",1987,"N57W137",-15.8913043478261
"78",1988,"N57W137",-27.6739130434783
"79",1989,"N57W137",0.565217391304348
"80",1990,"N57W137",-7.97826086956522
"81",1991,"N57W137",-11.6739130434783
"82",1992,"N57W137",-7.34782608695652
"83",1993,"N57W137",5.52173913043478
"84",1994,"N57W137",-2.03260869565217
"85",1995,"N57W137",-8.16304347826087
"86",1996,"N57W137",-9.79347826086956
"87",1997,"N57W137",-7.57608695652174
"88",1998,"N57W137",-6.15217391304348
"89",1999,"N57W137",-17.054347826087
"90",2000,"N57W137",-8.21739130434783
"91",2001,"N57W137",-18.3695652173913
"92",2002,"N57W137",-15.7717391304348
"93",2003,"N57W137",-10.0434782608696
"94",2004,"N57W137",-1.15217391304348
"95",2005,"N57W137",-4.68478260869565
"96",2006,"N57W137",1.17391304347826
"97",2007,"N57W137",-3.91304347826087
"98",2008,"N57W137",-17.0652173913043
"99",2009,"N57W137",-2.1195652173913
"100",2010,"N57W137",-16.804347826087
"101",2011,"N57W137",-15.9673913043478
"102",2012,"N57W137",-11.4021739130435
"103",2013,"N57W137",-5.31521739130435
"104",2014,"N57W137",-25.9239130434783
"105",2015,"N57W137",-14.0978260869565
"106",2016,"N57W137",-9.57608695652174
"107",2017,"N57W137",-24.5326086956522
"108",2018,"N57W137",3.04347826086957
"109",2019,"N57W137",8.97826086956522
"110",2020,"N57W137",-7.53260869565217
"111",2021,"N57W137",6.04347826086957
"112",2022,"N57W137",2.92391304347826
"113",1967,"N60W146",11.6195652173913
"114",1968,"N60W146",-1.48913043478261
